Rank	Drug (brand name)	Sales, 2013
1	Abilify	$6,460,215,394
2	Nexium	$6,135,667,614
3	Humira	$5,549,996,855
4	Crestor	$5,310,818,889
5	Cymbalta	$5,219,860,418
6	Advair Diskus	$5,121,312,668
7	Enbrel	$4,681,201,645
8	Remicade	$4,098,233,242
9	Copaxone	$3,697,182,238
10	Neulasta	$3,580,364,758
11	Rituxan	$3,288,614,045
12	Lantus Solostar	$3,005,681,663
13	Spiriva Handihaler	$2,998,207,542
14	Atripla	$2,856,818,557
15	Januvia	$2,843,496,907
16	Avastin	$2,688,414,938
17	Lantus	$2,556,825,619
18	Oxycontin	$2,534,909,675
19	Lyrica	$2,415,254,835
20	Epogen	$2,280,696,834
21	Celebrex	$2,237,658,764
22	Truvada	$2,235,712,145
23	Diovan	$2,169,819,482
24	Herceptin	$1,938,804,857
25	Gleevec	$1,896,982,614
26	Lucentis	$1,859,463,484
27	Namenda	$1,856,822,750
28	Vyvanse	$1,743,115,521
29	Zetia	$1,710,526,476
30	Symbicort	$1,563,242,161
31	Levemir	$1,547,629,745
32	Suboxone	$1,450,554,130
33	Novolog Flexpen	$1,377,221,614
34	Novolog	$1,349,403,122
35	Avonex	$1,240,754,136
36	Seroquel Xr	$1,226,532,019
37	Viagra	$1,196,812,385
38	Alimta	$1,192,134,813
39	Humalog	$1,184,189,487
40	Nasonex	$1,137,402,455
41	Victoza 3-Pak	$1,104,811,637
42	Cialis	$1,086,355,583
43	Gilenya	$1,059,346,323
44	Flovent Hfa	$1,050,009,900
45	Procrit	$1,030,419,958
46	Isentress	$1,014,678,055
47	Xarelto	$996,441,091
48	Prezista	$992,087,940
49	Janumet	$987,663,598
50	Stelara	$965,072,892
51	Neupogen	$958,807,372
52	Orencia	$957,680,500
53	Renvela	$955,330,199
54	Reyataz	$934,879,388
55	Vesicare	$933,311,254
56	Dexilant	$916,401,204
57	Tecfidera	$879,673,483
58	Humalog Kwikpen	$879,632,962
59	Synthroid	$858,725,708
60	Vytorin	$858,576,112
61	Lunesta	$851,791,226
62	Pradaxa	$836,573,805
63	Benicar	$832,276,970
64	Evista	$823,647,433
65	Xolair	$821,783,471
66	Aranesp	$809,245,700
67	Prevnar 13	$806,129,346
68	Sensipar	$786,320,942
69	Xgeva	$785,725,436
70	Invega Sustenna	$779,834,172
71	Zytiga	$775,269,249
72	Avonex Pen	$768,655,140
73	Synagis	$767,786,422
74	Betaseron	$767,648,290
75	Xeloda	$754,133,787
76	Ventolin Hfa	$745,629,470
77	Zyvox	$726,184,205
78	Afinitor	$721,629,719
79	Gardasil	$710,208,856
80	Zostavax	$705,140,729
81	Incivek	$701,317,408
82	Sandostatin Lar	$697,961,265
83	Aciphex	$683,359,951
84	Benicar Hct	$681,353,719
85	Bystolic	$681,318,227
86	Treanda	$679,052,250
87	Focalin Xr	$660,161,202
88	Erbitux	$648,984,405
89	Tamiflu	$641,134,799
90	Tarceva	$640,597,157
91	Pristiq	$632,619,542
92	Complera	$630,039,312
93	Cubicin	$628,034,439
94	Velcade	$621,800,823
95	Strattera	$616,604,042
96	Viread	$599,074,197
97	Stribild	$598,844,153
98	Welchol	$573,939,710
99	Combivent Respimat	$573,179,772
100	Xifaxan	$569,762,570